Sully Prudhomme	1901	Literature	\N
Theodor Mommsen	1902	Literature	history
Bjørnstjerne Bjørnson	1903	Literature	poetry
Frédéric Mistral	1904	Literature	poetry
José Echegaray	1904	Literature	drama
Ragnar Frisch	1969	Economics	\N
Jan Tinbergen	1969	Economics	\N
